Żywność,Kalorie,JednostkaKalorii,JednostkaWagi,Kategoria,Porcja,WagaPorcji
Agrest,44,kcal,g,owoce,szklanka,148
Ananas,50,kcal,g,owoce,szklanka,151
Arbuz,30,kcal,g,owoce,ananas,905
Awokado,160,kcal,g,owoce,arbuz,286
Banan,89,kcal,g,owoce,awokado,200
Banan rajski,122,kcal,g,owoce,banan,125
Brzoskwinia,39,kcal,g,owoce,banan,179
Cytryna,29,kcal,g,owoce,brzoskwinia,150
Czereśnie,63,kcal,g,owoce,cytryna,58
Daktyle,282,kcal,g,owoce,czereśnie,10
Dżakfrut,95,kcal,g,owoce,daktyl,7.1
Figi,74,kcal,g,owoce,szklanka,151
Granat,83,kcal,g,owoce,figa,50
Gruszka,57,kcal,g,owoce,granat,282
Gujawa,68,kcal,g,owoce,gruszka,178
Jabłko,52,kcal,g,owoce,gujawa,55
Jagody,57,kcal,g,owoce,jabłko,182
Jagodzian rambutan,82,kcal,g,owoce,szklanka,148
Jeżyna,43,kcal,g,owoce,rambutan,9
Kantalupa,34,kcal,g,owoce,szklanka,144
Karambola,31,kcal,g,owoce,sztuka,69
Kiwi,61,kcal,g,owoce,karambola,91
Klementynki,47,kcal,g,owoce,kiwi,183
Liczi,66,kcal,g,owoce,klementynka,74
Limonka,30,kcal,g,owoce,liczi,10
Maliny,52,kcal,g,owoce,limonka,67
Mandarynki,53,kcal,g,owoce,szklanka,123
Mango,60,kcal,g,owoce,mandarynka,88
Miechunka,49,kcal,g,owoce,mango,336
Mirabelki,64,kcal,g,owoce,jagoda,5
Morela,48,kcal,g,owoce,mirabelki,75
Morwa,43,kcal,g,owoce,morela,35
Nektarynki,44,kcal,g,owoce,szklanka,140
Oliwki,115,kcal,g,owoce,nektarynka,150
Papaja,43,kcal,g,owoce,oliwka,2.7
Passiflora,97,kcal,g,owoce,papaja,500
Persymona,127,kcal,g,owoce,passiflora,18
Pigwa,57,kcal,g,owoce,kaki,25
Pomarańcza,47,kcal,g,owoce,pigwa,92
Pomarańcza czerwona,50,kcal,g,owoce,pomarańcza,131
Porzeczki,56,kcal,g,owoce,porcja,140
Poziomki,32,kcal,g,owoce,szklanka,112
Przecier jabłkowy,68,kcal,g,owoce,poziomki,12
Rabarbar,21,kcal,g,owoce,szklanka,246
Renkloda ulena,41,kcal,g,owoce,sztuka,51
Rodzynki,299,kcal,g,owoce,sztuka,5
Sałatka owocowa,50,kcal,g,owoce,szklanka,145
Tamaryndowiec,239,kcal,g,owoce,szklanka,249
Truskawki,32,kcal,g,owoce,tamaryndowiec,2
Winogrona,69,kcal,g,owoce,szklanka,152
Wiśnie,50,kcal,g,owoce,szklanka,151
Śliwka,46,kcal,g,owoce,wiśnia,8
Żurawina,46,kcal,g,owoce,śliwka,66
Akka Sellowa,55,kcal,g,owoce tropikalne i egzotyczne,acerola,4.8
Ananas,50,kcal,g,owoce tropikalne i egzotyczne,akka,42
Arbuz,30,kcal,g,owoce tropikalne i egzotyczne,ananas,905
Awokado,160,kcal,g,owoce tropikalne i egzotyczne,plasterel,286
Banan,89,kcal,g,owoce tropikalne i egzotyczne,awokado,200
Banan zwyczajny,122,kcal,g,owoce tropikalne i egzotyczne,baban,125
Cherimoya,75,kcal,g,owoce tropikalne i egzotyczne,banan,179
Chlebowiec,95,kcal,g,owoce tropikalne i egzotyczne,cherimoya,235
Chlebowiec właściwy,103,kcal,g,owoce tropikalne i egzotyczne,szklanka,151
Durian,147,kcal,g,owoce tropikalne i egzotyczne,4 chlebowca,96
Granat,83,kcal,g,owoce tropikalne i egzotyczne,durian,602
Grejpfrut,42,kcal,g,owoce tropikalne i egzotyczne,granat,282
Grejpfrut różowy,42,kcal,g,owoce tropikalne i egzotyczne,2 grejfruta,123
Gruszka chińska,42,kcal,g,owoce tropikalne i egzotyczne,2 grejfruta,123
Gujawa,68,kcal,g,owoce tropikalne i egzotyczne,gruszka,178
Kantalupa,34,kcal,g,owoce tropikalne i egzotyczne,gujawa,55
Karambola,31,kcal,g,owoce tropikalne i egzotyczne,plasterek,69
Kiwi,61,kcal,g,owoce tropikalne i egzotyczne,karambola,91
Kumkwat,71,kcal,g,owoce tropikalne i egzotyczne,kiwi,183
Liczi,66,kcal,g,owoce tropikalne i egzotyczne,kumkwat,19
Mandarynki,53,kcal,g,owoce tropikalne i egzotyczne,liczi,10
Mango,60,kcal,g,owoce tropikalne i egzotyczne,mandarynka,90
Mangostan,73,kcal,g,owoce tropikalne i egzotyczne,mango,336
Marakuja,97,kcal,g,owoce tropikalne i egzotyczne,porcja,80
Melon Galia,23,kcal,g,owoce tropikalne i egzotyczne,marakuja,18
Melon żółty,28,kcal,g,owoce tropikalne i egzotyczne,melon,130
Morwa indyjska,53,kcal,g,owoce tropikalne i egzotyczne,plasterek,125
Ogórek melon,34,kcal,g,owoce tropikalne i egzotyczne,morwa,28.4
Opuncja figowa,41,kcal,g,owoce tropikalne i egzotyczne,plasterek,69
Pitaja (smoczy owoc),60,kcal,g,owoce tropikalne i egzotyczne,opuncja,19
Pomelo,38,kcal,g,owoce tropikalne i egzotyczne,pitaja,200
Tamaryndowiec,239,kcal,g,owoce tropikalne i egzotyczne,pomelo,609
Wiśnie koktajlowe,165,kcal,g,owoce tropikalne i egzotyczne,tamaryndowiec,2
Ananas w kawałkach w puszce,53,kcal,g,owoce w puszkach,szklanka,252
Ananas w plasterkach w puszce,53,kcal,g,owoce w puszkach,szklanka,225
Ananas w puszce,60,kcal,g,owoce w puszkach,szklanka,225
Brzoskwinie w puszce,54,kcal,g,owoce w puszkach,szklanka,232
Figi w puszce,107,kcal,g,owoce w puszkach,2 brzoskwini,98
Grejpfrut w puszce,37,kcal,g,owoce w puszkach,szklanka,261
Gruszki w puszce,35,kcal,g,owoce w puszkach,szklanka,249
Jagody w puszce,88,kcal,g,owoce w puszkach,szklanka,284
Jeżyny w puszce,92,kcal,g,owoce w puszkach,szklanka,256
Maliny w puszce,91,kcal,g,owoce w puszkach,szklanka,256
Mandarynki w puszce,71,kcal,g,owoce w puszkach,szklanka,256
Mango w puszce,65,kcal,g,owoce w puszkach,szklanka,113
Mieszanka owocowa w puszce,71,kcal,g,owoce w puszkach,szklanka,165
Morele w puszce,48,kcal,g,owoce w puszkach,szklanka,113
Pomarańcze w puszce,62,kcal,g,owoce w puszkach,szklanka,246
Przecier jabłkowy,62,kcal,g,owoce w puszkach,szklanka,113
Sałatka owocowa w puszce,50,kcal,g,owoce w puszkach,szklanka,114
Suszone owoce,243,kcal,g,owoce w puszkach,szklanka,259
Truskawki w puszce,92,kcal,g,owoce w puszkach,paczka,300
Winogrona w puszce,76,kcal,g,owoce w puszkach,szklanka,254
Wiśnie morello w puszce,81,kcal,g,owoce w puszkach,szklanka,256
Wiśnie w puszce,54,kcal,g,owoce w puszkach,szklanka,270
Śliwki w puszce,58,kcal,g,owoce w puszkach,szklanka,250
Żurawina w puszce,178,kcal,g,owoce w puszkach,śliwka,46
Frytki,312,kcal,g,produkty ziemniaczane,sztuka,40
Gnocchi,133,kcal,g,produkty ziemniaczane,porcja,117
Kluski z ziemniaków,124,kcal,g,produkty ziemniaczane,szklanka,188
Knedle,120,kcal,g,produkty ziemniaczane,sztuka,40
Knedle ze śliwkami,147,kcal,g,produkty ziemniaczane,knedle,95
Kopytka,125,kcal,g,produkty ziemniaczane,porcja,300
Krokiety,127,kcal,g,produkty ziemniaczane,porcja,200
Maniok jadalny,160,kcal,g,produkty ziemniaczane,porcja,138
Omlet,154,kcal,g,produkty ziemniaczane,korzeń,408
Pierogi,124,kcal,g,produkty ziemniaczane,omlet,61
Placki ziemniaczane,185,kcal,g,produkty ziemniaczane,sztuka,40
Placki ziemniaczane,166,kcal,g,produkty ziemniaczane,sztuka,74
Pyzy,424,kcal,g,produkty ziemniaczane,sztuka,50
Sałatka ziemniaczana,143,kcal,g,produkty ziemniaczane,ziemniak,10
